UKPRN,Institution,SortOrder,MainPanel,UOA,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,Profile,StaffFte,FourStar,ThreeStar,TwoStar,OneStar,Unclassified,n_submission,p,pp_top_prop
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,11.3,6.4,68.1,25.5,0,0,47,45,0.260716846
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,13.7,10.3,61.5,25.6,2.6,0,39,35,0.142857143
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Outputs,7.25,0,34.8,39.1,4.4,21.7,23,20,0.153541667
10000291,Anglia Ruskin University,10,B,15,General Engineering, ,,,Outputs,8,0,31,65.6,3.4,0,29,16,0.473891129
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning", ,,,Outputs,8,12.5,29.2,41.6,16.7,0,24,10,0
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,17.5,12.5,43.1,40.2,4.2,0,72,61,0.238002981
10000291,Anglia Ruskin University,10,C,19,Business and Management Studies, ,,,Outputs,14.2,6.8,47.7,36.4,4.6,4.5,44,30,0.115790531
10000291,Anglia Ruskin University,10,C,20,Law, ,,,Outputs,10.2,2.8,27.8,44.4,19.4,5.6,36,9,0.12520908
10000291,Anglia Ruskin University,10,C,22,Social Work and Social Policy, ,,,Outputs,14.31,10.7,21.4,44.7,23.2,0,56,25,0.059333333
10000291,Anglia Ruskin University,10,C,25,Education, ,,,Outputs,5.2,0,28.6,42.8,23.8,4.8,21,12,0.083333333
10000291,Anglia Ruskin University,10,D,29,English Language and Literature, ,,,Outputs,16.8,13,42.6,33.3,11.1,0,54,9,0.002435312
10000291,Anglia Ruskin University,10,D,30,History, ,,,Outputs,5.5,12.5,33.3,45.9,8.3,0,24,5,0.010029674
10000291,Anglia Ruskin University,10,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,13.9,5.7,43.4,39.6,11.3,0,53,1,0
10000291,Anglia Ruskin University,10,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,13.8,6.4,21.3,40.4,27.6,4.3,47,8,0.25
10000291,Anglia Ruskin University,10,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,8.7,18.2,51.5,30.3,0,0,33,5,0.016351351
10000385,Arts University Bournemouth,120,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,12.1,11.5,40.4,32.7,13.5,1.9,51,6,0.166666667
10000571,Bath Spa University,40,C,25,Education, ,,,Outputs,13.2,8.2,32.6,36.8,18.3,4.1,48,9,0.057936508
10000571,Bath Spa University,40,D,29,English Language and Literature, ,,,Outputs,21.05,22.9,46.8,19.3,6.4,4.6,109,3,0.220833333
10000571,Bath Spa University,40,D,30,History, ,,,Outputs,6.2,3.7,25.9,44.5,25.9,0,27,5,0.013688525
10000571,Bath Spa University,40,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,12,16.7,28.5,31,23.8,0,42,1,0
10000571,Bath Spa University,40,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,7.4,19.4,38.7,32.2,9.7,0,31,12,0
10000824,Bournemouth University,130,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,21.4,16,33.4,40.7,7.4,2.5,81,67,0.274277262
10000824,Bournemouth University,130,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,13,10.8,62.2,27,0,0,37,36,0.194166667
10000824,Bournemouth University,130,B,15,General Engineering, ,,,Outputs,24.8,0,33.7,60.5,5.8,0,86,68,0.066752791
10000824,Bournemouth University,130,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,29.5,13,42.6,40.7,3.7,0,108,83,0.272713788
10000824,Bournemouth University,130,C,19,Business and Management Studies, ,,,Outputs,20.5,4.6,38.5,46.1,10.8,0,65,33,0.243346509
10000824,Bournemouth University,130,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,14,17.8,64.4,17.8,0,0,45,40,0.271149655
10000824,Bournemouth University,130,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,13.8,9.8,49,33.4,7.8,0,51,30,0.047554045
10000824,Bournemouth University,130,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,24.8,22.4,47,28.2,2.4,0,85,22,0
10000886,University of Brighton,160,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,(joint submission with University of Sussex),Outputs,22.5,13.2,59.4,24.6,0.9,1.9,89,75,0.063809524
10000886,University of Brighton,160,B,7,Earth Systems and Environmental Sciences, ,,,Outputs,14.25,0,45.8,50,4.2,0,48,45,0.142811584
10000886,University of Brighton,160,B,11,Computer Science and Informatics, ,,,Outputs,14,3.1,43.8,43.7,9.4,0,32,18,0.056070955
10000886,University of Brighton,160,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Outputs,8.5,11.1,59.3,18.5,11.1,0,25,22,0
10000886,University of Brighton,160,C,19,Business and Management Studies, ,,,Outputs,15.8,17.4,34.8,36.2,10.2,1.4,69,25,0.043086797
10000886,University of Brighton,160,C,22,Social Work and Social Policy, ,,,Outputs,27.1,10.3,42.3,34,10.3,3.1,97,43,0.082611031
10000886,University of Brighton,160,C,25,Education, ,,,Outputs,7.3,13.8,34.5,41.4,10.3,0,29,9,0.111111111
10000886,University of Brighton,160,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,21.41,22,43.9,32.9,1.2,0,82,60,0.205182905
10000886,University of Brighton,160,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,63.9,15.2,40.4,36.3,6.3,1.8,221,36,0.172857147
10000886,University of Brighton,160,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,14.7,23.1,40.4,30.7,5.8,0,52,11,0.029665072
10000961,Brunel University London,180,A,2,"Public Health, Health Services and Primary Care", ,,,Outputs,10.3,9.5,45.3,30.9,9.5,4.8,42,37,0.251755837
10000961,Brunel University London,180,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,50.6,16.5,42.8,33,7.7,0,194,158,0.118548188
10000961,Brunel University London,180,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,22.6,8,36.8,44.9,10.3,0,87,83,0.198995984
10000961,Brunel University London,180,B,7,Earth Systems and Environmental Sciences, ,,,Outputs,16.2,3.1,58.4,32.3,6.2,0,65,64,0.30125
10000961,Brunel University London,180,B,10,Mathematical Sciences, ,,,Outputs,24.05,8,56,36,0,0,100,91,0.190428515
10000961,Brunel University London,180,B,11,Computer Science and Informatics, ,,,Outputs,30.5,23.1,40.1,34.2,2.6,0,117,98,0.231844947
10000961,Brunel University London,180,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Outputs,63.27,9.4,54.9,31.8,3.9,0,255,223,0.13476188
10000961,Brunel University London,180,B,15,General Engineering, ,,,Outputs,63.45,8.9,50.8,32.5,6.6,1.2,258,228,0.123001283
10000961,Brunel University London,180,C,18,Economics and Econometrics, ,,,Outputs,26.2,2,22.5,63.7,11.8,0,102,73,0.087125518
10000961,Brunel University London,180,C,19,Business and Management Studies, ,,,Outputs,61,11.4,33.8,40.3,13.2,1.3,228,149,0.132015249
10000961,Brunel University London,180,C,20,Law, ,,,Outputs,30.95,6.4,42.2,48.6,2.8,0,109,9,0
10000961,Brunel University London,180,C,21,Politics and International Studies, ,,,Outputs,23.8,20.3,39.2,36.7,3.8,0,79,43,0.19752585
10000961,Brunel University London,180,C,22,Social Work and Social Policy, ,,,Outputs,16.1,22.7,36.4,28.8,10.6,1.5,66,40,0.205087719
10000961,Brunel University London,180,C,23,Sociology, ,,,Outputs,12,14.6,47.9,37.5,0,0,48,35,0.114285714
10000961,Brunel University London,180,C,24,Anthropology and Development Studies, ,,,Outputs,9,14.7,50,35.3,0,0,34,21,0.229222629
10000961,Brunel University London,180,C,25,Education, ,,,Outputs,14.2,19.7,32.8,36,11.5,0,61,27,0.136335907
10000961,Brunel University London,180,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,28.9,26,47.2,21.1,4.9,0.8,123,97,0.192714657
10000961,Brunel University London,180,D,29,English Language and Literature, ,,,Outputs,23.15,24.7,40.9,14,11.8,8.6,93,14,0.144885388
10000961,Brunel University London,180,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,13,4.3,44.6,44.7,6.4,0,47,21,0.047619048
10000961,Brunel University London,180,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,18.35,20,32.3,33.9,9.2,4.6,65,7,0.235403727
10000961,Brunel University London,180,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,19,19.1,32.4,25,22,1.5,67,14,0.137175598
10000975,Buckinghamshire New University,200,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,7.1,3.1,34.4,34.4,18.7,9.4,32,15,0.092662132
10000975,Buckinghamshire New University,200,C,19,Business and Management Studies, ,,,Outputs,2.33,NULL,NULL,NULL,NULL,NULL,9,8,0
10000975,Buckinghamshire New University,200,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,5,0,15.4,53.8,30.8,0,13,7,0.364039409
10000975,Buckinghamshire New University,200,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,9.6,15,32.5,32.5,17.5,2.5,40,5,0
10001143,Canterbury Christ Church University,240,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,13.9,9.4,37.8,49,3.8,0,53,41,0.074308943
10001143,Canterbury Christ Church University,240,A,6,"Agriculture, Veterinary and Food Science", ,,,Outputs,12.5,2.8,47.2,47.2,2.8,0,36,32,0.052455357
10001143,Canterbury Christ Church University,240,C,21,Politics and International Studies, ,,,Outputs,14.5,2.3,16.3,41.9,30.2,9.3,43,17,0.165827843
10001143,Canterbury Christ Church University,240,C,25,Education, ,,,Outputs,21.6,7.1,37.8,35.7,19.4,0,98,32,0.111879902
10001143,Canterbury Christ Church University,240,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,14.8,14.3,38.8,34.7,12.2,0,49,28,0.093554007
10001143,Canterbury Christ Church University,240,D,29,English Language and Literature, ,,,Outputs,11.8,7.7,41,46.2,5.1,0,39,7,0.006136821
10001143,Canterbury Christ Church University,240,D,30,History, ,,,Outputs,14,5.6,55.5,36.1,2.8,0,36,10,0.025195246
10001143,Canterbury Christ Church University,240,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,13.6,19.4,22.3,33.3,19.4,5.6,36,8,0.125
10001143,Canterbury Christ Church University,240,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,14.3,8.3,37.5,37.5,14.6,2.1,48,2,0
10001282,University of Northumbria at Newcastle,1350,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,44.2,18,55.3,26.7,0,0,161,143,0.179581391
10001282,University of Northumbria at Newcastle,1350,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,19.3,10.9,28.2,50,9.3,1.6,64,60,0.170285714
10001282,University of Northumbria at Newcastle,1350,B,10,Mathematical Sciences, ,,,Outputs,14,7.1,54.8,35.7,2.4,0,42,41,0.206591628
10001282,University of Northumbria at Newcastle,1350,B,11,Computer Science and Informatics, ,,,Outputs,13,9.7,48.4,38.7,3.2,0,31,26,0.130376766
10001282,University of Northumbria at Newcastle,1350,B,15,General Engineering, ,,,Outputs,23,18.2,60.6,21.2,0,0,66,65,0.224714388
10001282,University of Northumbria at Newcastle,1350,C,16,"Architecture, Built Environment and Planning", ,,,Outputs,18.2,4.3,46.4,43.5,5.8,0,69,38,0.124780702
10001282,University of Northumbria at Newcastle,1350,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,19,9.1,45.4,37.9,7.6,0,66,63,0.28930965
10001282,University of Northumbria at Newcastle,1350,C,19,Business and Management Studies, ,,,Outputs,23.2,5.3,35.5,53.9,5.3,0,76,47,0.062377575
10001282,University of Northumbria at Newcastle,1350,C,20,Law, ,,,Outputs,13.7,5.2,44.8,48.3,1.7,0,58,6,0
10001282,University of Northumbria at Newcastle,1350,C,22,Social Work and Social Policy, ,,,Outputs,30.6,7.4,42.1,45.2,5.3,0,95,45,0.049175627
10001282,University of Northumbria at Newcastle,1350,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,13.8,2.4,38.1,47.6,11.9,0,41,35,0.342857143
10001282,University of Northumbria at Newcastle,1350,D,29,English Language and Literature, ,,,Outputs,29,37.2,39.5,21,2.3,0,86,28,0.167914771
10001282,University of Northumbria at Newcastle,1350,D,30,History, ,,,Outputs,20,31.4,45.7,21.5,1.4,0,70,17,0.261071792
10001282,University of Northumbria at Newcastle,1350,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,40.7,16.8,43.8,27.7,11.7,0,137,25,0.070645698
10001282,University of Northumbria at Newcastle,1350,D,36,"Communication, Cultural and Media Studies, Library and Information Management",A,"Communication, Cultural and Media Studies",,Outputs,13.6,29.4,41.2,21.6,7.8,0,50,10,0.103793149
10001282,University of Northumbria at Newcastle,1350,D,36,"Communication, Cultural and Media Studies, Library and Information Management",B,Library and Information Management,,Outputs,7.4,8.8,32.4,38.2,20.6,0,34,15,0.409444374
10001478,City University London,300,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,67.6,14.9,57,23,3.7,1.4,295,249,0.203820463
10001478,City University London,300,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,28,14,53.3,24.3,5.6,2.8,107,98,0.162173583
10001478,City University London,300,B,10,Mathematical Sciences, ,,,Outputs,16.05,17.1,62.9,18.6,1.4,0,70,61,0.240766979
10001478,City University London,300,B,11,Computer Science and Informatics, ,,,Outputs,32,10.5,47.6,38.7,3.2,0,123,60,0.169355987
10001478,City University London,300,B,15,General Engineering, ,,,Outputs,53.6,10.4,72.6,14.6,1.5,0.9,212,180,0.130983076
10001478,City University London,300,C,18,Economics and Econometrics, ,,,Outputs,13.7,16.7,37,29.6,16.7,0,54,42,0.231255887
10001478,City University London,300,C,19,Business and Management Studies, ,,,Outputs,78.29,36.6,45.6,14.5,2.7,0.6,330,281,0.283530482
10001478,City University London,300,C,20,Law, ,,,Outputs,20.5,18.8,39.2,36.2,5.8,0,69,6,0.315625
10001478,City University London,300,C,21,Politics and International Studies, ,,,Outputs,13.2,16.7,40.4,35.8,7.1,0,42,22,0.142613636
10001478,City University London,300,C,23,Sociology, ,,,Outputs,21.6,14.3,48,33.8,3.9,0,77,44,0.269007937
10001478,City University London,300,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,9.2,33.3,46.7,16.7,3.3,0,30,2,0.001057402
10001478,City University London,300,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,24.6,22.1,45.3,27.3,3.2,2.1,95,30,0.312288597
10001726,Coventry University,320,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,17.6,20.3,72.9,6.8,0,0,59,57,0.233015096
10001726,Coventry University,320,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,14,9.8,29.2,51.2,9.8,0,41,36,0.143234273
10001726,Coventry University,320,B,7,Earth Systems and Environmental Sciences, ,,,Outputs,10.4,12.2,42.9,38.8,6.1,0,49,45,0.235925926
10001726,Coventry University,320,B,10,Mathematical Sciences, ,,,Outputs,9,10.3,75.9,13.8,0,0,29,29,0.365517241
10001726,Coventry University,320,B,11,Computer Science and Informatics, ,,,Outputs,13,5,25,65,5,0,40,33,0.187272727
10001726,Coventry University,320,B,15,General Engineering, ,,,Outputs,18.7,6,56.7,34.3,3,0,67,60,0.154449557
10001726,Coventry University,320,C,19,Business and Management Studies, ,,,Outputs,17,4.5,27.3,45.5,22.7,0,66,32,0.107253793
10001726,Coventry University,320,C,21,Politics and International Studies, ,,,Outputs,18.7,3.2,16.2,38.7,38.7,3.2,62,13,0.043851215
10001726,Coventry University,320,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,34.45,9.7,46.3,38,5.3,0.7,133,30,0.162222222
10001883,De Montfort University,400,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,31.4,8,39.3,46.5,5.3,0.9,112,97,0.141705888
10001883,De Montfort University,400,B,11,Computer Science and Informatics, ,,,Outputs,24.7,13.5,38.4,43.3,4.8,0,104,80,0.257251224
10001883,De Montfort University,400,B,15,General Engineering, ,,,Outputs,24.7,2.1,39,54.7,3.1,1.1,95,81,0.12572276
10001883,De Montfort University,400,C,16,"Architecture, Built Environment and Planning", ,,,Outputs,14.1,31.3,34.3,23.5,10.9,0,64,49,0.31900848
10001883,De Montfort University,400,C,19,Business and Management Studies, ,,,Outputs,21.7,8.5,47.6,35.4,8.5,0,82,59,0.138406982
10001883,De Montfort University,400,C,20,Law, ,,,Outputs,9.4,7.1,40.5,45.3,7.1,0,42,10,0
10001883,De Montfort University,400,C,22,Social Work and Social Policy, ,,,Outputs,20.1,10.7,34.6,44,10.7,0,75,36,0.08474026
10001883,De Montfort University,400,D,29,English Language and Literature, ,,,Outputs,13.2,21.8,36.4,29.1,10.9,1.8,55,3,0.20039505
10001883,De Montfort University,400,D,30,History, ,,,Outputs,12.6,4,34,58,4,0,50,12,0.084097859
10001883,De Montfort University,400,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,22.5,15.5,42.2,31,7.2,4.1,96,16,0.051804711
10001883,De Montfort University,400,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,13,22.4,38.8,26.6,10.2,2,49,6,0.050142615
10001883,De Montfort University,400,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,10.8,48.8,29.2,19.6,2.4,0,41,6,0.011058757
10002681,Glasgow School of Art,6790,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,52.8,9.4,36.7,41.7,11.6,0.6,179,21,0
10002718,Goldsmiths' College,510,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,33.3,18.3,53.9,24.3,0.9,2.6,115,105,0.316666209
10002718,Goldsmiths' College,510,B,11,Computer Science and Informatics, ,,,Outputs,19.3,11.8,41.1,41.2,5.9,0,85,42,0.162867456
10002718,Goldsmiths' College,510,C,21,Politics and International Studies, ,,,Outputs,10.5,11.4,45.7,37.2,5.7,0,35,14,0.213110902
10002718,Goldsmiths' College,510,C,22,Social Work and Social Policy, ,,,Outputs,7,16.7,40,40,3.3,0,30,17,0.01922499
10002718,Goldsmiths' College,510,C,23,Sociology, ,,,Outputs,36.95,16.9,46.1,35.7,0.7,0.6,153,80,0.275181652
10002718,Goldsmiths' College,510,C,24,Anthropology and Development Studies, ,,,Outputs,12.5,17.9,43.6,28.2,5.2,5.1,39,11,0
10002718,Goldsmiths' College,510,C,25,Education, ,,,Outputs,9.5,23.1,41,30.8,5.1,0,39,14,0
10002718,Goldsmiths' College,510,D,29,English Language and Literature, ,,,Outputs,22,30.8,43.6,20.5,5.1,0,78,7,0.15619224
10002718,Goldsmiths' College,510,D,30,History, ,,,Outputs,10,27.8,38.9,33.3,0,0,36,12,0.197303922
10002718,Goldsmiths' College,510,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,31.3,17.2,39.5,35.8,4.5,3,131,9,0.225265646
10002718,Goldsmiths' College,510,D,35,"Music, Drama, Dance and Performing Arts",A,Music,,Outputs,14.1,23.6,40,32.8,3.6,0,55,10,0.001163934
10002718,Goldsmiths' College,510,D,35,"Music, Drama, Dance and Performing Arts",B,Theatre and performance,,Outputs,11,17.9,35.9,38.5,7.7,0,39,1,0
10002718,Goldsmiths' College,510,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,21,34.2,46.6,19.2,0,0,73,26,0.267207828
10003270,Imperial College London,630,A,1,Clinical Medicine, ,,,Outputs,334.18,26.9,51.7,19.4,1.3,0.7,1369,1308,0.463019061
10003270,Imperial College London,630,A,2,"Public Health, Health Services and Primary Care", ,,,Outputs,54.6,39.2,46.6,12.8,0.5,0.9,212,188,0.688899285
10003270,Imperial College London,630,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,44.33,33.2,53.8,12,1,0,193,178,0.516239466
10003270,Imperial College London,630,A,5,Biological Sciences, ,,,Outputs,99.55,38.9,50,9.5,1.1,0.5,370,352,0.48987137
10003270,Imperial College London,630,B,8,Chemistry, ,,,Outputs,54.9,20.7,73.8,5,0.5,0,217,216,0.363271605
10003270,Imperial College London,630,B,9,Physics, ,,,Outputs,117.49,23.6,67.1,8.4,0.5,0.4,453,419,0.514224076
10003270,Imperial College London,630,B,10,Mathematical Sciences, ,,,Outputs,100.31,27.7,59.7,11.5,0.8,0.3,372,315,0.266575526
10003270,Imperial College London,630,B,11,Computer Science and Informatics, ,,,Outputs,49.45,43.1,47.9,9,0,0,201,126,0.206364793
10003270,Imperial College London,630,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Outputs,172.8,27.8,56.6,15.4,0.2,0,635,625,0.289832456
10003270,Imperial College London,630,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials",A,Electrical and Electronic engineering,,Outputs,44.2,32.4,63.6,3.4,0,0.6,176,165,0.257033962
10003270,Imperial College London,630,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials",B,Metallurgy and Materials,,Outputs,37,32.6,65.3,2.1,0,0,140,138,0.382471056
10003270,Imperial College London,630,B,14,Civil and Construction Engineering, ,,,Outputs,56.6,32.1,60.8,7.1,0,0,184,173,0.250638271
10003270,Imperial College London,630,B,15,General Engineering, ,,,Outputs,33.5,29,67,4,0,0,109,101,0.314851485
10003270,Imperial College London,630,C,19,Business and Management Studies, ,,,Outputs,57.95,48.5,40.2,9.3,2,0,204,171,0.387641131
10003324,Institute of Cancer Research,230,A,1,Clinical Medicine, ,,,Outputs,69.09,29.2,53.7,15.4,0.4,1.3,298,275,0.541691853
10003324,Institute of Cancer Research,230,A,5,Biological Sciences, ,,,Outputs,34,47.6,48.5,3.9,0,0,103,101,0.596515794
10003614,University of Winchester,1860,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,8.5,2.8,30.5,47.3,19.4,0,36,30,0.1
10003614,University of Winchester,1860,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,5.4,4.3,30.5,52.2,13,0,22,9,0.111111111
10003614,University of Winchester,1860,C,23,Sociology, ,,,Outputs,7,0,29.6,63,7.4,0,27,13,0.162613473
10003614,University of Winchester,1860,C,25,Education, ,,,Outputs,7.13,18.9,40.6,27,10.8,2.7,36,18,0.058126036
10003614,University of Winchester,1860,D,30,History, ,,,Outputs,11,15.4,41,41,2.6,0,39,6,0
10003614,University of Winchester,1860,D,33,Theology and Religious Studies, ,,,Outputs,8.4,2.7,29.7,51.4,16.2,0,37,2,0
10003614,University of Winchester,1860,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,12.4,13.2,30.2,35.8,13.3,7.5,53,5,0.208291391
10003614,University of Winchester,1860,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,12.75,22,34,28,10,6,50,4,0.25
10003645,King's College London,690,A,1,Clinical Medicine, ,,,Outputs,136.42,31.7,57.5,10,0.4,0.4,502,477,0.530053066
10003645,King's College London,690,A,2,"Public Health, Health Services and Primary Care", ,,,Outputs,23.5,25.9,51.9,22.2,0,0,81,75,0.449274074
10003645,King's College London,690,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",A,Dentistry,,Outputs,52.95,28.6,58.8,11.6,1,0,199,180,0.283101663
10003645,King's College London,690,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",B,Pharmacy and Nutritional Sciences,,Outputs,93.93,26,60.7,11.4,0.2,1.7,362,331,0.255966676
10003645,King's College London,690,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",C,Nursing and Palliative Care,,Outputs,40.75,26.1,58.2,15,0,0.7,134,121,0.317716012
10003645,King's College London,690,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,238.88,24.8,56.3,17.2,1.1,0.6,810,731,0.541544401
10003645,King's College London,690,A,5,Biological Sciences, ,,,Outputs,73.85,29.9,46.7,18.7,1.1,3.6,278,272,0.266340798
10003645,King's College London,690,B,9,Physics, ,,,Outputs,26.6,22.7,67,9.3,0,1,97,95,0.557649123
10003645,King's College London,690,B,10,Mathematical Sciences, ,,,Outputs,43.2,30.9,56.4,12.1,0,0.6,164,127,0.298055598
10003645,King's College London,690,B,11,Computer Science and Informatics, ,,,Outputs,46,34,57.8,8.2,0,0,159,119,0.217264336
10003645,King's College London,690,B,15,General Engineering, ,,,Outputs,53.34,14,84.7,1.3,0,0,157,151,0.360269739
10003645,King's College London,690,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,34.8,22.6,53.1,20,3.4,0.9,115,82,0.315795664
10003645,King's College London,690,C,19,Business and Management Studies, ,,,Outputs,36.15,24.5,53.7,19.1,2.7,0,147,111,0.189732095
10003645,King's College London,690,C,20,Law, ,,,Outputs,33.88,37.6,46.6,15.8,0,0,133,27,0.137637253
10003645,King's College London,690,C,21,Politics and International Studies, ,,,Outputs,98.3,21.5,36.4,34.5,7,0.6,330,145,0.170482477
10003645,King's College London,690,C,23,Sociology, ,,,Outputs,18.9,34.7,37.5,25,0,2.8,72,53,0.196289308
10003645,King's College London,690,C,25,Education, ,,,Outputs,36.3,34.1,49.2,14.4,2.3,0,132,69,0.29563666
10003645,King's College London,690,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,13.8,37.5,44.6,14.3,3.6,0,56,56,0.207344246
10003645,King's College London,690,D,28,Modern Languages and Linguistics, ,,,Outputs,40.5,27.8,44.4,21,5.3,1.5,131,21,0.032074394
10003645,King's College London,690,D,29,English Language and Literature, ,,,Outputs,44.5,34.4,35.5,27.6,2.5,0,163,20,0.129199007
10003645,King's College London,690,D,30,History, ,,,Outputs,39.85,35.3,43.6,19.6,1.5,0,133,34,0.262485555
10003645,King's College London,690,D,31,Classics, ,,,Outputs,29.9,33.9,31.3,33.9,0.9,0,115,7,0.279591837
10003645,King's College London,690,D,32,Philosophy, ,,,Outputs,24.05,34.4,39.6,25,1,0,96,36,0.180097101
10003645,King's College London,690,D,33,Theology and Religious Studies, ,,,Outputs,26,30.2,33,28.3,7.6,0.9,106,17,0.117647059
10003645,King's College London,690,D,35,"Music, Drama, Dance and Performing Arts",A,Music,,Outputs,14.6,43.1,25.9,24.1,5.2,1.7,58,9,0.154531127
10003645,King's College London,690,D,35,"Music, Drama, Dance and Performing Arts",B,Film,,Outputs,15,40.7,44,11.9,3.4,0,59,4,0.177941176
10003645,King's College London,690,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,33.05,32.8,36.1,22.7,8.4,0,119,34,0.126816609
10003678,Kingston University,720,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,17.22,15.3,61.1,22.2,0,1.4,72,66,0.177878788
10003678,Kingston University,720,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,10,6.1,48.4,33.4,12.1,0,33,31,0.225806452
10003678,Kingston University,720,B,11,Computer Science and Informatics, ,,,Outputs,10.2,7.5,47.5,42.5,2.5,0,40,35,0.23015873
10003678,Kingston University,720,B,15,General Engineering, ,,,Outputs,14,1.9,53.7,40.7,1.8,1.9,54,49,0.089116877
10003678,Kingston University,720,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,10,12.5,31.3,43.7,12.5,0,32,28,0.233983236
